band,task,vocab_item,category,example_sentence
1,1,a bit be big,trend/description,The chart shows that the figure a bit be big over the period.
1,1,a bit be high,trend/description,"Overall, the number a bit be high during the time shown."
1,1,a bit be low,trend/description,"As can be seen from the graph, the percentage a bit be low over these years."
1,1,a bit be small,trend/description,"According to the table, the value a bit be small in the final year."
1,1,a bit be the same,trend/description,"Over the whole period, the proportion a bit be the same compared with the beginning."
1,1,a bit change,trend/description,The line graph illustrates how the figure a bit change between 2000 and 2010.
1,1,a bit get bigger,trend/description,"Looking at the statistics, the amount a bit get bigger throughout the period."
1,1,a bit get smaller,trend/description,The diagram makes it clear that the percentage a bit get smaller over time.
1,1,a bit go down,trend/description,The chart shows that the figure a bit go down over the period.
1,1,a bit go up,trend/description,"Overall, the number a bit go up during the time shown."
1,1,a little be big,trend/description,"As can be seen from the graph, the percentage a little be big over these years."
1,1,a little be high,trend/description,"According to the table, the value a little be high in the final year."
1,1,a little be low,trend/description,"Over the whole period, the proportion a little be low compared with the beginning."
1,1,a little be small,trend/description,The line graph illustrates how the figure a little be small between 2000 and 2010.
1,1,a little be the same,trend/description,"Looking at the statistics, the amount a little be the same throughout the period."
1,1,a little change,trend/description,The diagram makes it clear that the percentage a little change over time.
1,1,a little get bigger,trend/description,The chart shows that the figure a little get bigger over the period.
1,1,a little get smaller,trend/description,"Overall, the number a little get smaller during the time shown."
1,1,a little go down,trend/description,"As can be seen from the graph, the percentage a little go down over these years."
1,1,a little go up,trend/description,"According to the table, the value a little go up in the final year."
1,1,quite be big,trend/description,"Over the whole period, the proportion quite be big compared with the beginning."
1,1,quite be high,trend/description,The line graph illustrates how the figure quite be high between 2000 and 2010.
1,1,quite be low,trend/description,"Looking at the statistics, the amount quite be low throughout the period."
1,1,quite be small,trend/description,The diagram makes it clear that the percentage quite be small over time.
1,1,quite be the same,trend/description,The chart shows that the figure quite be the same over the period.
1,1,quite change,trend/description,"Overall, the number quite change during the time shown."
1,1,quite get bigger,trend/description,"As can be seen from the graph, the percentage quite get bigger over these years."
1,1,quite get smaller,trend/description,"According to the table, the value quite get smaller in the final year."
1,1,quite go down,trend/description,"Over the whole period, the proportion quite go down compared with the beginning."
1,1,quite go up,trend/description,The line graph illustrates how the figure quite go up between 2000 and 2010.
1,1,really be big,trend/description,"Looking at the statistics, the amount really be big throughout the period."
1,1,really be high,trend/description,The diagram makes it clear that the percentage really be high over time.
1,1,really be low,trend/description,The chart shows that the figure really be low over the period.
1,1,really be small,trend/description,"Overall, the number really be small during the time shown."
1,1,really be the same,trend/description,"As can be seen from the graph, the percentage really be the same over these years."
1,1,really change,trend/description,"According to the table, the value really change in the final year."
1,1,really get bigger,trend/description,"Over the whole period, the proportion really get bigger compared with the beginning."
1,1,really get smaller,trend/description,The line graph illustrates how the figure really get smaller between 2000 and 2010.
1,1,really go down,trend/description,"Looking at the statistics, the amount really go down throughout the period."
1,1,really go up,trend/description,The diagram makes it clear that the percentage really go up over time.
1,1,very be big,trend/description,The chart shows that the figure very be big over the period.
1,1,very be high,trend/description,"Overall, the number very be high during the time shown."
1,1,very be low,trend/description,"As can be seen from the graph, the percentage very be low over these years."
1,1,very be small,trend/description,"According to the table, the value very be small in the final year."
1,1,very be the same,trend/description,"Over the whole period, the proportion very be the same compared with the beginning."
1,1,very change,trend/description,The line graph illustrates how the figure very change between 2000 and 2010.
1,1,very get bigger,trend/description,"Looking at the statistics, the amount very get bigger throughout the period."
1,1,very get smaller,trend/description,The diagram makes it clear that the percentage very get smaller over time.
1,1,very go down,trend/description,The chart shows that the figure very go down over the period.
1,1,very go up,trend/description,"Overall, the number very go up during the time shown."
2,1,a little change,trend/description,"As can be seen from the graph, the percentage a little change over these years."
2,1,a little decrease,trend/description,"According to the table, the value a little decrease in the final year."
2,1,a little drop,trend/description,"Over the whole period, the proportion a little drop compared with the beginning."
2,1,a little fall,trend/description,The line graph illustrates how the figure a little fall between 2000 and 2010.
2,1,a little go down,trend/description,"Looking at the statistics, the amount a little go down throughout the period."
2,1,a little go up,trend/description,The diagram makes it clear that the percentage a little go up over time.
2,1,a little grow,trend/description,The chart shows that the figure a little grow over the period.
2,1,a little increase,trend/description,"Overall, the number a little increase during the time shown."
2,1,a little rise,trend/description,"As can be seen from the graph, the percentage a little rise over these years."
2,1,a little stay the same,trend/description,"According to the table, the value a little stay the same in the final year."
2,1,a lot change,trend/description,"Over the whole period, the proportion a lot change compared with the beginning."
2,1,a lot decrease,trend/description,The line graph illustrates how the figure a lot decrease between 2000 and 2010.
2,1,a lot drop,trend/description,"Looking at the statistics, the amount a lot drop throughout the period."
2,1,a lot fall,trend/description,The diagram makes it clear that the percentage a lot fall over time.
2,1,a lot go down,trend/description,The chart shows that the figure a lot go down over the period.
2,1,a lot go up,trend/description,"Overall, the number a lot go up during the time shown."
2,1,a lot grow,trend/description,"As can be seen from the graph, the percentage a lot grow over these years."
2,1,a lot increase,trend/description,"According to the table, the value a lot increase in the final year."
2,1,a lot rise,trend/description,"Over the whole period, the proportion a lot rise compared with the beginning."
2,1,a lot stay the same,trend/description,The line graph illustrates how the figure a lot stay the same between 2000 and 2010.
2,1,quickly change,trend/description,"Looking at the statistics, the amount quickly change throughout the period."
2,1,quickly decrease,trend/description,The diagram makes it clear that the percentage quickly decrease over time.
2,1,quickly drop,trend/description,The chart shows that the figure quickly drop over the period.
2,1,quickly fall,trend/description,"Overall, the number quickly fall during the time shown."
2,1,quickly go down,trend/description,"As can be seen from the graph, the percentage quickly go down over these years."
2,1,quickly go up,trend/description,"According to the table, the value quickly go up in the final year."
2,1,quickly grow,trend/description,"Over the whole period, the proportion quickly grow compared with the beginning."
2,1,quickly increase,trend/description,The line graph illustrates how the figure quickly increase between 2000 and 2010.
2,1,quickly rise,trend/description,"Looking at the statistics, the amount quickly rise throughout the period."
2,1,quickly stay the same,trend/description,The diagram makes it clear that the percentage quickly stay the same over time.
2,1,slowly change,trend/description,The chart shows that the figure slowly change over the period.
2,1,slowly decrease,trend/description,"Overall, the number slowly decrease during the time shown."
2,1,slowly drop,trend/description,"As can be seen from the graph, the percentage slowly drop over these years."
2,1,slowly fall,trend/description,"According to the table, the value slowly fall in the final year."
2,1,slowly go down,trend/description,"Over the whole period, the proportion slowly go down compared with the beginning."
2,1,slowly go up,trend/description,The line graph illustrates how the figure slowly go up between 2000 and 2010.
2,1,slowly grow,trend/description,"Looking at the statistics, the amount slowly grow throughout the period."
2,1,slowly increase,trend/description,The diagram makes it clear that the percentage slowly increase over time.
2,1,slowly rise,trend/description,The chart shows that the figure slowly rise over the period.
2,1,slowly stay the same,trend/description,"Overall, the number slowly stay the same during the time shown."
2,1,suddenly change,trend/description,"As can be seen from the graph, the percentage suddenly change over these years."
2,1,suddenly decrease,trend/description,"According to the table, the value suddenly decrease in the final year."
2,1,suddenly drop,trend/description,"Over the whole period, the proportion suddenly drop compared with the beginning."
2,1,suddenly fall,trend/description,The line graph illustrates how the figure suddenly fall between 2000 and 2010.
2,1,suddenly go down,trend/description,"Looking at the statistics, the amount suddenly go down throughout the period."
2,1,suddenly go up,trend/description,The diagram makes it clear that the percentage suddenly go up over time.
2,1,suddenly grow,trend/description,The chart shows that the figure suddenly grow over the period.
2,1,suddenly increase,trend/description,"Overall, the number suddenly increase during the time shown."
2,1,suddenly rise,trend/description,"As can be seen from the graph, the percentage suddenly rise over these years."
2,1,suddenly stay the same,trend/description,"According to the table, the value suddenly stay the same in the final year."
3,1,gradually change,trend/description,"Over the whole period, the proportion gradually change compared with the beginning."
3,1,gradually decrease,trend/description,The line graph illustrates how the figure gradually decrease between 2000 and 2010.
3,1,gradually drop,trend/description,"Looking at the statistics, the amount gradually drop throughout the period."
3,1,gradually fall,trend/description,The diagram makes it clear that the percentage gradually fall over time.
3,1,gradually go down,trend/description,The chart shows that the figure gradually go down over the period.
3,1,gradually go up,trend/description,"Overall, the number gradually go up during the time shown."
3,1,gradually increase,trend/description,"As can be seen from the graph, the percentage gradually increase over these years."
3,1,gradually remain steady,trend/description,"According to the table, the value gradually remain steady in the final year."
3,1,gradually rise,trend/description,"Over the whole period, the proportion gradually rise compared with the beginning."
3,1,gradually stay stable,trend/description,The line graph illustrates how the figure gradually stay stable between 2000 and 2010.
3,1,quickly change,trend/description,"Looking at the statistics, the amount quickly change throughout the period."
3,1,quickly decrease,trend/description,The diagram makes it clear that the percentage quickly decrease over time.
3,1,quickly drop,trend/description,The chart shows that the figure quickly drop over the period.
3,1,quickly fall,trend/description,"Overall, the number quickly fall during the time shown."
3,1,quickly go down,trend/description,"As can be seen from the graph, the percentage quickly go down over these years."
3,1,quickly go up,trend/description,"According to the table, the value quickly go up in the final year."
3,1,quickly increase,trend/description,"Over the whole period, the proportion quickly increase compared with the beginning."
3,1,quickly remain steady,trend/description,The line graph illustrates how the figure quickly remain steady between 2000 and 2010.
3,1,quickly rise,trend/description,"Looking at the statistics, the amount quickly rise throughout the period."
3,1,quickly stay stable,trend/description,The diagram makes it clear that the percentage quickly stay stable over time.
3,1,slightly change,trend/description,The chart shows that the figure slightly change over the period.
3,1,slightly decrease,trend/description,"Overall, the number slightly decrease during the time shown."
3,1,slightly drop,trend/description,"As can be seen from the graph, the percentage slightly drop over these years."
3,1,slightly fall,trend/description,"According to the table, the value slightly fall in the final year."
3,1,slightly go down,trend/description,"Over the whole period, the proportion slightly go down compared with the beginning."
3,1,slightly go up,trend/description,The line graph illustrates how the figure slightly go up between 2000 and 2010.
3,1,slightly increase,trend/description,"Looking at the statistics, the amount slightly increase throughout the period."
3,1,slightly remain steady,trend/description,The diagram makes it clear that the percentage slightly remain steady over time.
3,1,slightly rise,trend/description,The chart shows that the figure slightly rise over the period.
3,1,slightly stay stable,trend/description,"Overall, the number slightly stay stable during the time shown."
3,1,steadily change,trend/description,"As can be seen from the graph, the percentage steadily change over these years."
3,1,steadily decrease,trend/description,"According to the table, the value steadily decrease in the final year."
3,1,steadily drop,trend/description,"Over the whole period, the proportion steadily drop compared with the beginning."
3,1,steadily fall,trend/description,The line graph illustrates how the figure steadily fall between 2000 and 2010.
3,1,steadily go down,trend/description,"Looking at the statistics, the amount steadily go down throughout the period."
3,1,steadily go up,trend/description,The diagram makes it clear that the percentage steadily go up over time.
3,1,steadily increase,trend/description,The chart shows that the figure steadily increase over the period.
3,1,steadily remain steady,trend/description,"Overall, the number steadily remain steady during the time shown."
3,1,steadily rise,trend/description,"As can be seen from the graph, the percentage steadily rise over these years."
3,1,steadily stay stable,trend/description,"According to the table, the value steadily stay stable in the final year."
3,1,suddenly change,trend/description,"Over the whole period, the proportion suddenly change compared with the beginning."
3,1,suddenly decrease,trend/description,The line graph illustrates how the figure suddenly decrease between 2000 and 2010.
3,1,suddenly drop,trend/description,"Looking at the statistics, the amount suddenly drop throughout the period."
3,1,suddenly fall,trend/description,The diagram makes it clear that the percentage suddenly fall over time.
3,1,suddenly go down,trend/description,The chart shows that the figure suddenly go down over the period.
3,1,suddenly go up,trend/description,"Overall, the number suddenly go up during the time shown."
3,1,suddenly increase,trend/description,"As can be seen from the graph, the percentage suddenly increase over these years."
3,1,suddenly remain steady,trend/description,"According to the table, the value suddenly remain steady in the final year."
3,1,suddenly rise,trend/description,"Over the whole period, the proportion suddenly rise compared with the beginning."
3,1,suddenly stay stable,trend/description,The line graph illustrates how the figure suddenly stay stable between 2000 and 2010.
4,1,gradually climb,trend/description,"Looking at the statistics, the amount gradually climb throughout the period."
4,1,gradually decline,trend/description,The diagram makes it clear that the percentage gradually decline over time.
4,1,gradually decrease,trend/description,The chart shows that the figure gradually decrease over the period.
4,1,gradually drop,trend/description,"Overall, the number gradually drop during the time shown."
4,1,gradually fall,trend/description,"As can be seen from the graph, the percentage gradually fall over these years."
4,1,gradually fluctuate,trend/description,"According to the table, the value gradually fluctuate in the final year."
4,1,gradually increase,trend/description,"Over the whole period, the proportion gradually increase compared with the beginning."
4,1,gradually reach a peak,trend/description,The line graph illustrates how the figure gradually reach a peak between 2000 and 2010.
4,1,gradually remain stable,trend/description,"Looking at the statistics, the amount gradually remain stable throughout the period."
4,1,gradually rise,trend/description,The diagram makes it clear that the percentage gradually rise over time.
4,1,sharply climb,trend/description,The chart shows that the figure sharply climb over the period.
4,1,sharply decline,trend/description,"Overall, the number sharply decline during the time shown."
4,1,sharply decrease,trend/description,"As can be seen from the graph, the percentage sharply decrease over these years."
4,1,sharply drop,trend/description,"According to the table, the value sharply drop in the final year."
4,1,sharply fall,trend/description,"Over the whole period, the proportion sharply fall compared with the beginning."
4,1,sharply fluctuate,trend/description,The line graph illustrates how the figure sharply fluctuate between 2000 and 2010.
4,1,sharply increase,trend/description,"Looking at the statistics, the amount sharply increase throughout the period."
