task,type,question_type,source,question_text,image_url
1,Task 1,bar chart,https://www.ieltsadvantage.com/2015/04/06/ielts-task-1-charts-sample-answer-uk-telephone-calls/,"The chart below shows the total number of minutes (in billions) of telephone calls in the UK, divided into three categories, from 1995-2002. Summarise the information by selecting and reporting the main features, and make comparisons where relevant.",https://www.ieltsadvantage.com/wp-content/uploads/2015/04/ielts-writing-task-1-bar-chart-uk-telephone-calls.png
2,Task 1,mixed charts,https://www.ieltsadvantage.com/2015/05/12/ielts-task-1-multiple-graphs/,"The pie chart below shows the main reasons why agricultural land become less productive. The table shows how these causes affected three regions of the world during the 1990s. Summarise the information by selecting and reporting the main features, and make comparisons where relevant.",https://www.ieltsadvantage.com/wp-content/uploads/2015/05/ielts-task-1-land-degredation.jpg
3,Task 1,line graph,https://www.ieltsjacky.com/ielts-academic-writing-task-1.html,"The line graph below shows the consumption of 3 different types of fast food in Britain from 1970 to 1990. Summarise the information by selecting and reporting the main features, and make comparisons where relevant.",https://www.ieltsjacky.com/images/xLineGraphFastFood.jpg.pagespeed.ic.CdQv_bmFWo.jpg
4,Task 1,bar chart,https://www.ieltsjacky.com/ielts-bar-chart.html,"The bar chart below shows numbers of seals, whales and dolphins recorded in the Gormez Straits from 2006 to 2018. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xBarChartSealsWhalesDolphins.jpg.pagespeed.ic.vqCu-4sy9Q.jpg
5,Task 1,line graph,https://www.ieltsjacky.com/ielts-line-graph.html,"The graph below shows the population for India and China since the year 2000 and predicts population growth until 2050. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xLineGraphIndiaChina.jpg.pagespeed.ic.ewaYcNZfKM.jpg
6,Task 1,table,https://www.ieltsjacky.com/ielts-table-chart.html,"The tables below give information about the world population and distribution in 1950 and 2000, with an estimate of the situation in 2050. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xTableWorldPopulationByRegion.jpg.pagespeed.ic.1AeAP0Ls1p.jpg
7,Task 1,pie chart,https://www.ieltsjacky.com/ielts-pie-chart.html,"The chart below shows the reasons why people travel to work by bicycle or by car. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xPieChartWorkTransport.jpg.pagespeed.ic.RjLLCGXo7L.jpg
8,Task 1,process,https://www.ieltsjacky.com/ielts-process-diagram.html,"The diagrams below show a structure that is used to generate electricity from wave power. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xElectricityFromWavePower.jpg.pagespeed.ic.CFRQMHlVun.jpg
9,Task 1,map,https://www.ieltsjacky.com/ielts-map.html,"The diagrams below show the changes that have taken place at Queen Mary Hospital since its construction in 1960. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xQueenMaryHospitalMaps.jpg.pagespeed.ic._1Ab0aBBV9.jpg
10,Task 1,mixed charts,https://www.ieltsjacky.com/ielts-multiple-graph.html,"The diagrams below give information on transport and car use in Edmonton. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://www.ieltsjacky.com/images/xCombinations1.jpg.pagespeed.ic.Sa9X1ZcySC.jpg
11,Task 1,pie chart,https://ielts.idp.com/nepal/prepare/ielts-academic-writing-task-1,"The pie chart shows how people in the UK accessed international news in 2019. Summarise the information by selecting and reporting the main features, and make comparisons where relevant. Write at least 150 words.",https://images.ctfassets.net/unrdeg6se4ke/2yfI6B6w1VgjEcVLMKANYc/66c26f57d4c14c840e5dee3552a13199/2.png?&w=1220
12,Task 1,line graph,https://takeielts.britishcouncil.org/take-ielts/prepare/free-ielts-english-practice-tests/writing/academic/task-1,"This graph shows the proportion of four different materials that were recycled from 1982 to 2010 in a particular country. Summarise the information by selecting and reporting the main features, making comparisons where relevant.",https://takeielts.britishcouncil.org/sites/default/files/styles/bc-landscape-270x152/public/ac_writing_task_1.png?itok=lHfyefHl
13,Task 2,opinion (agree/disagree),https://ieltsliz.com/ielts-sample-essay/,"Many people believe that social networking sites (such as Facebook) have had a huge negative impact on both individuals and society. To what extent do you agree?",
14,Task 2,direct question,https://takeielts.britishcouncil.org/take-ielts/prepare/free-ielts-english-practice-tests/writing/academic/task-2,"Learning English at school is often seen as more important than learning local languages. If these are not taught, many are at risk of dying out. In your opinion, is it important for everyone to learn English? Should we try to ensure the survival of local languages and, if so, how?",
15,Task 2,discussion + opinion,https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"Some people think that parents should teach their children how to be good members of society. Others, however, believe that school is the best place to learn this. Discuss both views and give your own opinion.",
16,Task 2,advantages/disadvantages,https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"There is an increasing trend around the world of married couples deciding not to have children. Discuss the advantages and disadvantages for couples who decide to do this.",
17,Task 2,cause/solution,https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"In many professional sports, there is an increase in the number of athletes using banned substances to improve their performance. What are the causes of the phenomenon and what are some of the possible solutions?",
18,Task 2,opinion (agree/disagree),https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"Details of politicians’ private lives should not be published in newspapers. To what extent do you agree or disagree?",
19,Task 2,opinion (agree/disagree),https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"Some say that music, art and drama are as important as other school subjects, especially at the primary level. Do you agree or disagree?",
20,Task 2,advantages/disadvantages,https://www.ieltsadvantage.com/2023/01/15/ielts-writing-task-2-sample-essays/,"In some countries, it is becoming increasingly common for people to follow a vegetarian diet. Do the advantages of this outweigh the disadvantages?",
21,Task 2,opinion (agree/disagree),https://ieltsliz.com/100-ielts-essay-questions/,"Some people think that the government is wasting money on the arts and that this money could be better spent elsewhere. To what extent do you agree with this view?",
22,Task 2,positive/negative development,https://ieltsliz.com/100-ielts-essay-questions/,"Nowadays parents put too much pressure on their children to succeed. What is the reason for doing this? Is this a negative or positive development?",
23,Task 2,advantages/disadvantages,https://ieltsliz.com/100-ielts-essay-questions/,"Some people think it is better for children to grow up in the city, while others think that life in the countryside is more suitable. What are the advantages and disadvantages of both places?",
24,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/,"In many modern societies, grandchildren rarely spend any quality time with their grandparents. What do you think are the consequences of this?",
25,Task 2,positive/negative development,https://ieltsliz.com/100-ielts-essay-questions/,"Nowadays, it seems that different generations within the family spend less time doing activities together. Why is that? Is it a positive or negative development?",
26,Task 2,opinion (agree/disagree),https://ieltsliz.com/100-ielts-essay-questions/,"Children can learn effectively by watching television. Therefore they should be encouraged to watch television regularly at home and at school. To what extend do you agree or disagree?",
27,Task 2,discussion + opinion,https://ieltsliz.com/100-ielts-essay-questions/,"Some people think that the role of parents is to discipline their children and teach them about right and wrong. Other people consider that the main responsibility of parents is to nurture their children and provide them with a safe environment to grow up in. Discuss both sides and give your opinion.",
28,Task 2,cause/solution,https://ieltsliz.com/100-ielts-essay-questions/,"Most modern families have both parents working and as a result children spend less and less time with their parents. What is the reason for this? What problems can this cause?",
29,Task 2,advantages/disadvantages,https://ieltsliz.com/100-ielts-essay-questions/,"The nuclear family is well adapted to move geographically due to its size. Do you think children benefit in any way from moving? Do you think the advantages outweigh the disadvantages?",
30,Task 2,problem/solution,https://ieltsliz.com/100-ielts-essay-questions/,"In many developing countries, there is a problem with declining quality of air and water from both industry and construction. What measures could be taken to prevent this?",
31,Task 2,cause/solution,https://ieltsliz.com/100-ielts-essay-questions/,"Many offenders commit more crimes after serving their first punishment. Why is this happening, and what measures can be taken to tackle this problem?",
32,Task 2,problem/solution,https://ieltsliz.com/100-ielts-essay-questions/,"With the development of social media, more and more youngsters are being allowed unsupervised access to the internet in order to meet and chat with friends which can lead to potentially dangerous situations. What solutions can you suggest to deal with this problem?",
33,Task 2,cause/solution,https://ieltsliz.com/100-ielts-essay-questions/,"Overpopulation in many major urban centers around the world is a major problem. What are the causes of this? How can this problem be solved?",
34,Task 2,cause/solution,https://ieltsliz.com/100-ielts-essay-questions/,"More and more wild animals are on the verge of extinction and others are on the endangered list. What are the reasons for this? What can be done to solve this problem?",
35,Task 2,problem/solution,https://ieltsliz.com/100-ielts-essay-questions/,"Many small, local shops are closing as they are unable to compete with large supermarkets in the area. How does this effect local communities? How could this situation be improved?",
36,Task 2,problem/solution,https://ieltsliz.com/100-ielts-essay-questions/,"An increasing number of professionals, such as doctors and teachers, are leaving their own poorer countries to work in developed countries. What problems does this cause? What solutions can you suggest to deal with this situation?",
37,Task 2,opinion (agree/disagree),https://ielts.org/cdn/Sample-tests/ielts-academic-writing-sample-tasks-2023.pdf,"Children who are brought up in families that do not have large amounts of money are better prepared to deal with the problems of adult life than children brought up by wealthy parents. To what extent do you agree or disagree?",
38,Task 2,opinion,https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Many feel that the common educational system of teachers and students in a classroom will be replaced by the year 2050. Do you agree with this view? Give your opinion.",
39,Task 2,opinion (agree/disagree),https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Education should be free to all people and should be paid for and managed by the government. Do you agree or disagree with this statement?",
40,Task 2,discussion + opinion,https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Some feel that it is impossible for a country to be economically progressive and environmentally friendly at the same time. Others disagree with this view. Discuss both points of view and give your opinion.",
41,Task 2,cause/solution,https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Water pollution has become an increasing problem over the past few decades. What causes water pollution? How can we prevent this problem?",
42,Task 2,opinion (agree/disagree),https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Nowadays, children watch a lot of TV and play video games. However, some think that these activities are not beneficial for a child's mental health. To what extent do you agree or disagree?",
43,Task 2,opinion (agree/disagree),https://ielts.idp.com/prepare/article-common-ielts-essay-topics,"Modern technology now allows rapid and uncontrolled access to information in many countries. This is a danger to our societies. To what extent do you agree or disagree?",
44,Task 2,cause/solution,https://takeielts.britishcouncil.org/take-ielts/prepare/free-ielts-english-practice-tests/writing/academic-2/task-2,"Many people go through life doing work that they hate or have no talent for. Why does this happen? What are the consequences of this situation?",
45,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/tourism,"Tourism is a major industry in many countries. What benefits do you think tourism brings to individuals and society?",
46,Task 2,opinion (agree/disagree),https://ieltsliz.com/100-ielts-essay-questions/tourism,"Raising the cost of international flights is the best way to reduce air pollution. To what extent do you agree or disagree?",
47,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/,"News plays an important part in most people's lives. Why is news so important to people? Why is so much news dedicated to bad news? Should the news focus on good news instead?",
48,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/,"Most people agree money cannot buy happiness. Why is happiness difficult to define? How can people achieve happiness?",
49,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/,"Success is often measured by wealth and material belongings. Do you think wealth is the best measure of success? What makes a successful person?",
50,Task 2,direct question,https://ieltsliz.com/100-ielts-essay-questions/,"The internet is a great source of information that has opened opportunities for learning worldwide. Is all information reliable on the internet? What could be done to control information online?",
