question,options,correct_answer,category,difficulty,fun_fact,source,grade_range,active
"What is the chemical symbol for gold?","[""Fe"",""Au"",""Ag"",""Cu""]",1,Science,easy,"Gold has been used as currency and jewellery for over 5,000 years.",Khan Academy – Chemistry,Y6-Y11,true
"How many bones are in the adult human body?","[""106"",""206"",""306"",""406""]",1,Science,easy,"Babies are born with around 270 bones; many fuse together as they grow.",BBC Bitesize – Human Body,Y6-Y11,true
"What gas do plants produce during photosynthesis?","[""Carbon Dioxide"",""Nitrogen"",""Oxygen"",""Hydrogen""]",2,Science,easy,"Plants release oxygen as a by-product of converting sunlight and CO₂ into glucose.",BBC Bitesize – Photosynthesis,Y6-Y11,true
"What is the hardest natural substance on Earth?","[""Gold"",""Iron"",""Diamond"",""Quartz""]",2,Science,easy,"Diamond scores 10 on the Mohs hardness scale and can only be scratched by another diamond.",National Geographic – Minerals,Y6-Y11,true
"How many colours are in a rainbow?","[""5"",""6"",""7"",""8""]",2,Science,easy,"The colours are red, orange, yellow, green, blue, indigo, and violet — remembered as ROY G BIV.",BBC Bitesize – Light,Y6-Y11,true
"What type of animal is a dolphin?","[""Fish"",""Reptile"",""Mammal"",""Amphibian""]",2,Science,easy,"Dolphins must surface to breathe air through a blowhole on top of their heads.",National Geographic – Dolphins,Y6-Y11,true
"What force keeps us on the ground?","[""Magnetism"",""Friction"",""Gravity"",""Tension""]",2,Science,easy,"Earth's gravity pulls everything towards its centre at 9.8 m/s².",Khan Academy – Forces,Y6-Y11,true
"What is the boiling point of water at sea level?","[""90°C"",""95°C"",""100°C"",""105°C""]",2,Science,easy,"Water boils at lower temperatures at high altitude because air pressure is reduced.",BBC Bitesize – States of Matter,Y6-Y11,true
"Which organ pumps blood around the human body?","[""Lungs"",""Liver"",""Kidney"",""Heart""]",3,Science,easy,"The human heart beats about 100,000 times and pumps about 7,500 litres of blood every day.",Khan Academy – Human Biology,Y6-Y11,true
"What is the closest planet to the Sun?","[""Venus"",""Earth"",""Mars"",""Mercury""]",3,Science,easy,"Mercury has no atmosphere so temperatures swing from -180°C at night to 430°C during the day.",NASA Solar System Exploration,Y6-Y11,true
"What is the pH of pure water?","[""5"",""6"",""7"",""8""]",2,Science,medium,"A pH of 7 is neutral — below is acidic, above is alkaline.",Khan Academy – Acids and Bases,Y6-Y11,true
"What is the atomic number of oxygen?","[""6"",""7"",""8"",""9""]",2,Science,medium,"The atomic number tells you the number of protons in an atom's nucleus.",Royal Society of Chemistry – Periodic Table,Y6-Y11,true
"What is the process of a solid turning directly into a gas called?","[""Evaporation"",""Condensation"",""Sublimation"",""Melting""]",2,Science,medium,"Dry ice (solid CO₂) sublimates at room temperature, producing the smoky fog effect.",BBC Bitesize – States of Matter,Y6-Y11,true
"What type of rock is formed from cooled magma?","[""Sedimentary"",""Metamorphic"",""Igneous"",""Limestone""]",2,Science,medium,"Igneous comes from the Latin word 'ignis' meaning fire.",BBC Bitesize – Rock Cycle,Y6-Y11,true
"What is the function of red blood cells?","[""Fight infection"",""Carry oxygen"",""Digest food"",""Filter blood""]",1,Science,medium,"Red blood cells contain haemoglobin, an iron-containing protein that binds to oxygen.",Khan Academy – Blood,Y6-Y11,true
"What is the chemical symbol for sodium?","[""So"",""Sd"",""Na"",""Nm""]",2,Science,medium,"Sodium comes from the Latin 'Natrium', which is why its symbol is Na.",Royal Society of Chemistry,Y6-Y11,true
"Which layer of Earth is the outermost?","[""Mantle"",""Outer core"",""Crust"",""Inner core""]",2,Science,medium,"The continental crust can be up to 70 km thick while oceanic crust is only about 10 km.",National Geographic – Earth Structure,Y6-Y11,true
"What is the unit of electric current?","[""Volt"",""Watt"",""Ampere"",""Ohm""]",2,Science,medium,"The ampere is named after André-Marie Ampère, a French physicist and mathematician.",Khan Academy – Electricity,Y6-Y11,true
"Which gas makes up most of Earth's atmosphere?","[""Oxygen"",""Carbon dioxide"",""Nitrogen"",""Argon""]",2,Science,medium,"Nitrogen makes up about 78% of the atmosphere; oxygen accounts for about 21%.",BBC Bitesize – The Atmosphere,Y6-Y11,true
"What is the name of the force that opposes motion between surfaces?","[""Gravity"",""Tension"",""Friction"",""Normal force""]",2,Science,medium,"Without friction, we would not be able to walk, drive, or even hold objects.",Khan Academy – Forces and Newton's Laws,Y6-Y11,true
"What is the approximate half-life of Carbon-14?","[""1,430 years"",""5,730 years"",""14,300 years"",""57,300 years""]",1,Science,hard,"Archaeologists use carbon-14 dating to determine the age of ancient organic materials.",BBC – Radiocarbon Dating,Y6-Y11,true
"What is Avogadro's number?","[""6.02 × 10²³"",""6.02 × 10²⁴"",""3.01 × 10²³"",""1.38 × 10²³""]",0,Science,hard,"One mole of any substance contains exactly 6.02 × 10²³ particles.",Khan Academy – The Mole,Y6-Y11,true
"Which organelle is responsible for protein synthesis?","[""Mitochondria"",""Golgi body"",""Ribosome"",""Vacuole""]",2,Science,hard,"Ribosomes read the mRNA code to assemble amino acids into proteins.",Khan Academy – Cell Biology,Y6-Y11,true
"What is the Second Law of Thermodynamics concerned with?","[""Conservation of mass"",""Conservation of energy"",""Entropy"",""Wave behaviour""]",2,Science,hard,"Entropy means that disorder in a closed system always increases over time.",Khan Academy – Thermodynamics,Y6-Y11,true
"What type of chemical bond involves the sharing of electron pairs?","[""Ionic bond"",""Covalent bond"",""Metallic bond"",""Hydrogen bond""]",1,Science,hard,"Covalent bonds are found in most molecules essential to life, including DNA and proteins.",Royal Society of Chemistry – Chemical Bonding,Y6-Y11,true
"What is the formula for calculating density?","[""D = M + V"",""D = M × V"",""D = M ÷ V"",""D = V ÷ M""]",2,Science,hard,"Density explains why objects float or sink — less dense objects float on denser liquids.",BBC Bitesize – Density,Y6-Y11,true
